report_date,location,location_type,data_field,data_field_code,time_period_week,time_period_year,value,unit
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,47-1,2015,9,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,4-Jan,2016,21,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_travel,PR0001,47-4,2015-2016,30,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,42,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,43,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,44,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,45,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,46,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,47,2015,1,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,48,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,49,2015,0,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,50,2015,2,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,51,2015,1,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,52,2015,5,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,1,2015,3,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2,2016,6,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,3,2016,6,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,4,2016,6,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_local,PR0002,47-4,2015-2016,30,cases
2016-02-10,United_States-Puerto_Rico,territory,yearly_reported_travel_cases,PR0003,47-4,2015-2016,NA,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reporeted_visitor,PR0004,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_hospitalized,PR0005,47-4,2015-2016,3,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_pregnant,PR0006,47-4,2015-2016,1,cases
2016-02-10,United_States-Puerto_Rico,territory,zika_reported_gb,PR0007,47-4,2015-2016,1,cases
