report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_travel,PR0001,2015-2016,47-11,1,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_local,PR0002,2015-2016,47-11,371,cases
2016-03-30,United_States-Puerto_Rico,territory,yearly_reported_travel_cases,PR0003,NA,NA,NA,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_visitor,PR0004,2015-2016,47-11,1,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_hospitalized,PR0005,2015-2016,47-11,6,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_pregnant,PR0006,2015-2016,47-11,44,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_pregnant_s,PR0015,2015-2016,47-11,29,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_pregnant_a,PR0016,2015-2016,47-11,15,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_fatal,PR0007,2015-2016,47-11,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_gb,PR0008,2015-2016,47-11,3,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_age_group_1,PR0009,2016,1-11,3,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_age_group_2,PR0010,2016,1-11,2,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_age_group_3,PR0011,2016,1-11,73,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_age_group_4,PR0012,2016,1-11,131,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_age_group_5,PR0013,2016,1-11,122,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_age_group_6,PR0014,2016,1-11,23,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47-52,10,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1-11,362,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,42,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,43,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,44,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,45,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,46,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47,1,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,44,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,49,0,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,50,2,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,51,1,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,52,6,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1,5,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,2,9,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,3,11,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,4,19,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,5,46,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,6,69,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,7,67,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,8,65,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,9,40,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,10,24,cases
2016-03-30,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,11,9,cases
